,open,high,low,close,volume,symbol,rsi,rsi_bullish,rsi_overbought,rsi_oversold,rsi_slope,rsi_acceleration
2025-11-03,270.42,270.85,266.25,269.05,50194583.0,AAPL,66.4619,True,False,False,,
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,AAPL,67.4534,True,False,False,,
2025-11-05,268.61,271.7,266.93,270.14,42586288.0,AAPL,67.5577,True,False,False,,
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,AAPL,66.7057,True,False,False,0.24379999999999313,
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,AAPL,63.6675,True,False,False,-3.785900000000005,-4.029699999999998
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,AAPL,65.2664,True,False,False,-2.2912999999999926,1.4946000000000126
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,AAPL,71.6759,True,True,False,4.9702000000000055,7.261499999999998
2025-11-12,275.0,275.73,271.7,273.47,48397982.0,AAPL,67.5691,True,False,False,3.901600000000009,-1.0685999999999964
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,AAPL,66.3726,True,False,False,1.1062000000000012,-2.795400000000008
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,AAPL,65.0838,True,False,False,-6.592100000000002,-7.698300000000003
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,AAPL,54.6147,True,False,False,-12.954400000000007,-6.362300000000005
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,AAPL,54.5765,True,False,False,-11.796100000000003,1.158300000000004
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,AAPL,56.415,True,False,False,-8.668799999999997,3.1273000000000053
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,AAPL,51.7617,True,False,False,-2.8530000000000015,5.815799999999996
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,AAPL,59.8515,True,False,False,5.274999999999999,8.128
2025-11-24,270.9,277.0,270.9,275.92,65585796.0,AAPL,65.1696,True,False,False,8.754600000000003,3.479600000000005
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,AAPL,66.3088,True,False,False,14.547100000000007,5.792500000000004
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,AAPL,66.9518,True,False,False,7.100300000000004,-7.446800000000003
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0,AAPL,68.4071,True,False,False,3.237499999999997,-3.862800000000007
2025-12-01,278.01,283.42,276.14,283.1,46587722.0,AAPL,72.6478,True,True,False,6.338999999999999,3.1015000000000015
2025-12-02,283.0,287.4,282.6301,286.19,53669532.0,AAPL,75.2491,True,True,False,8.297299999999993,1.9582999999999942
2025-12-03,286.2,288.62,283.3,284.15,43538687.0,AAPL,70.4832,True,True,False,2.0760999999999967,-6.221199999999996
2025-12-04,284.095,284.73,278.59,280.7,43989056.0,AAPL,63.1939,True,False,False,-9.453900000000004,-11.530000000000001
2025-12-05,280.54,281.14,278.05,278.78,47265845.0,AAPL,59.5055,True,False,False,-15.7436,-6.289699999999996
2025-12-08,278.13,279.6693,276.15,277.89,36406317.0,AAPL,57.8209,True,False,False,-12.662299999999995,3.081300000000006
2025-12-09,278.16,280.03,276.92,277.18,31753410.0,AAPL,56.4479,True,False,False,-6.746000000000002,5.916299999999993
2025-12-10,277.75,279.75,276.44,278.78,33038318.0,AAPL,58.8209,True,False,False,-0.6845999999999961,6.061400000000006
2025-12-11,279.095,279.59,273.81,278.03,33247986.0,AAPL,57.2463,True,False,False,-0.5746000000000038,0.10999999999999233
2025-12-12,277.9,279.22,276.82,278.28,39532887.0,AAPL,57.6533,True,False,False,1.2054000000000045,1.7800000000000082
2025-12-15,280.15,280.15,272.84,274.11,50409078.0,AAPL,49.2355,False,False,False,-9.5854,-10.790800000000004
2025-12-16,272.82,275.5,271.79,274.61,37648628.0,AAPL,50.1749,True,False,False,-7.071399999999997,2.514000000000003
2025-12-17,275.01,276.16,271.64,271.84,50138743.0,AAPL,45.1863,False,False,False,-12.466999999999999,-5.395600000000002
2025-12-18,273.605,273.63,266.95,272.19,51630721.0,AAPL,45.9179,False,False,False,-3.3175999999999988,9.1494
2025-12-19,272.145,274.6,269.9,273.67,144632048.0,AAPL,49.017,False,False,False,-1.157899999999998,2.159700000000001
2025-12-22,272.86,273.88,270.505,270.97,36571827.0,AAPL,44.057,False,False,False,-1.1293000000000006,0.028599999999997294
2025-12-23,270.84,272.5,269.56,272.36,29641999.0,AAPL,47.0288,False,False,False,1.1108999999999938,2.2401999999999944
2025-12-24,272.34,275.43,272.195,273.81,17910574.0,AAPL,50.0119,True,False,False,0.9948999999999941,-0.11599999999999966
2025-12-26,274.16,275.37,272.86,273.4,21521802.0,AAPL,49.1687,False,False,False,5.111699999999999,4.116800000000005
2025-12-29,272.69,274.36,272.35,273.76,23715213.0,AAPL,49.9663,False,False,False,2.9375,-2.174199999999999
2025-12-30,272.81,274.08,272.28,273.08,22139617.0,AAPL,48.4207,False,False,False,-1.5912000000000006,-4.528700000000001
2025-12-31,273.06,273.68,271.75,271.86,27293639.0,AAPL,45.69,False,False,False,-3.4787000000000035,-1.8875000000000028
2026-01-02,272.255,277.84,269.0,271.01,37838054.0,AAPL,43.8351,False,False,False,-6.1312,-2.6524999999999963
2026-01-05,270.64,271.51,266.14,267.26,45647190.0,AAPL,36.7472,False,False,False,-11.673499999999997,-5.542299999999997
2026-01-06,267.0,267.55,262.12,262.36,52352090.0,AAPL,29.9358,False,False,True,-15.754199999999997,-4.0807
2026-01-07,263.2,263.68,259.81,260.33,48309804.0,AAPL,27.6493,False,False,True,-16.185799999999997,-0.43159999999999954
2026-01-08,257.02,259.29,255.7,259.04,50419337.0,AAPL,26.2758,False,False,True,-10.4714,5.714399999999998
2026-01-09,259.075,260.21,256.22,259.37,39996967.0,AAPL,27.2711,False,False,True,-2.6647,7.806699999999999
2026-01-12,259.16,261.3,256.8,260.25,45263767.0,AAPL,29.9856,False,False,True,2.3363000000000014,5.001000000000001
2026-01-13,258.72,261.81,258.39,261.05,45730847.0,AAPL,32.4537,False,False,False,6.1778999999999975,3.841599999999996
2026-01-14,259.49,261.82,256.71,259.96,40019421.0,AAPL,30.8576,False,False,False,3.586500000000001,-2.5913999999999966
2026-01-15,260.65,261.04,257.05,258.21,39388564.0,AAPL,28.4392,False,False,True,-1.546400000000002,-5.132900000000003
2026-01-16,257.9,258.9,254.93,255.53,72142773.0,AAPL,25.1841,False,False,True,-7.269599999999997,-5.723199999999995
