,open,high,low,close,volume,symbol,rsi,rsi_bullish,rsi_overbought,rsi_oversold,rsi_slope,rsi_acceleration
2026-04-15,254.96,258.18,251.85,258.12,24695184.0,AMD,74.7519,True,True,False,,
2026-04-16,264.99,279.34,261.51,278.26,64850772.0,AMD,80.1721,True,True,False,,
2026-04-17,281.0,281.05,274.14,278.39,35519852.0,AMD,80.2016,True,True,False,,
2026-04-20,280.6,287.61,272.0,274.95,34833859.0,AMD,76.9348,True,True,False,2.1828999999999894,
2026-04-21,277.33,286.2,276.62,284.49,38950875.0,AMD,79.4364,True,True,False,-0.7356999999999942,-2.9185999999999837
2026-04-22,291.215,304.25,286.14,303.46,49054237.0,AMD,83.3122,True,True,False,3.110600000000005,3.8462999999999994
2026-04-23,302.01,310.22,299.76,305.33,45619726.0,AMD,83.6396,True,True,False,6.704800000000006,3.5942000000000007
2026-04-24,336.755,352.99,334.54,347.81,81616660.0,AMD,88.9449,True,True,False,9.508499999999998,2.803699999999992
2026-04-27,346.32,349.21,328.81,334.63,50585307.0,AMD,80.2498,True,True,False,-3.062400000000011,-12.570900000000009
2026-04-28,311.86,327.5,310.0,323.21,43002479.0,AMD,73.5413,True,True,False,-10.098299999999995,-7.035899999999984
2026-04-29,326.58,340.17,318.86,337.11,44704367.0,AMD,76.1542,True,True,False,-12.790700000000001,-2.6924000000000063
2026-04-30,341.355,354.96,332.6,354.49,42115325.0,AMD,78.953,True,True,False,-1.2967999999999904,11.49390000000001
2026-05-01,351.87,362.79,349.25,360.54,34279169.0,AMD,79.84,True,True,False,6.298699999999997,7.595499999999987
2026-05-04,360.31,361.85,338.7,341.54,42000243.0,AMD,69.8796,True,False,False,-6.274600000000007,-12.573300000000003
2026-05-05,351.51,359.5716,344.88,355.26,64235117.0,AMD,72.5433,True,True,False,-6.409700000000001,-0.13509999999999422
2026-05-06,409.49,430.6,402.04,421.39,87732167.0,AMD,81.1818,True,True,False,1.341799999999992,7.751499999999993
2026-05-07,417.07,421.71,401.08,408.46,44885481.0,AMD,76.1378,True,True,False,6.258200000000002,4.91640000000001
2026-05-08,418.59,456.29,418.29,455.19,58134868.0,AMD,80.7845,True,True,False,8.241199999999992,1.9829999999999899
2026-05-11,460.55,469.215,450.88,458.79,46085390.0,AMD,81.09,True,True,False,-0.09179999999999211,-8.332999999999984
2026-05-12,449.25,458.8,426.11,448.29,39140061.0,AMD,77.2331,True,True,False,1.0952999999999946,1.1870999999999867
2026-05-13,457.035,459.5,432.65,445.5,30423354.0,AMD,76.196,True,True,False,-4.588499999999996,-5.683799999999991
2026-05-14,440.6,453.31,435.68,449.7,26113570.0,AMD,76.7032,True,True,False,-4.386800000000008,0.20169999999998822
2026-05-15,433.34,439.0,423.3616,424.1,29131579.0,AMD,67.2925,True,False,False,-9.94059999999999,-5.553799999999981
2026-05-18,429.5,438.8,410.71,420.99,28432130.0,AMD,66.2294,True,False,False,-9.9666,-0.02600000000001046
2026-05-19,412.6,428.75,393.36,414.05,38756913.0,AMD,63.807,True,False,False,-12.896199999999993,-2.9295999999999935
2026-05-20,428.04,449.3899,426.05,447.58,35262889.0,AMD,69.5936,True,False,False,2.301099999999991,15.197299999999984
2026-05-21,441.99,451.2,431.6,449.59,27251983.0,AMD,69.9042,True,False,False,3.6748000000000047,1.3737000000000137
2026-05-22,469.84,481.41,461.71,467.51,34758602.0,AMD,72.5925,True,True,False,8.785499999999999,5.110699999999994
2026-05-26,484.74,506.96,480.23,503.89,38473784.0,AMD,77.0705,True,True,False,7.4769000000000005,-1.3085999999999984
2026-05-27,508.0,510.21,486.6603,495.54,27589331.0,AMD,74.0788,True,True,False,4.174599999999998,-3.3023000000000025
2026-05-28,499.0,527.1999,493.52,518.09,31438519.0,AMD,76.7083,True,True,False,4.115799999999993,-0.05880000000000507
2026-05-29,520.8,522.0,503.43,516.1,30803236.0,AMD,75.9758,True,True,False,-1.094699999999989,-5.210499999999982
2026-06-01,500.16,517.5,486.8,510.13,33309248.0,AMD,73.7022,True,True,False,-0.37659999999999627,0.7180999999999926
2026-06-02,506.3,522.49,501.22,521.54,24293209.0,AMD,75.228,True,True,False,-1.4802999999999997,-1.1037000000000035
2026-06-03,533.75,546.44,524.3001,542.52,29411149.0,AMD,77.7808,True,True,False,1.8049999999999926,3.2852999999999923
2026-06-04,514.75,532.19,499.8701,523.2,29109999.0,AMD,70.5688,True,True,False,-3.133400000000009,-4.9384000000000015
2026-06-05,499.525,505.62,463.95,466.38,46900606.0,AMD,54.5491,True,False,False,-20.67889999999999,-17.545499999999983
2026-06-08,485.0,494.97,477.71,490.33,25158813.0,AMD,58.7951,True,False,False,-18.9857,1.6931999999999903
2026-06-09,502.75,505.0,437.23,475.505,37799812.0,AMD,55.3483,True,False,False,-15.220499999999994,3.765200000000007
2026-06-10,467.97,477.4499,448.33,452.4,27777399.0,AMD,50.3902,True,False,False,-4.158900000000003,11.061599999999991
2026-06-11,461.6,490.46,458.02,488.45,30463082.0,AMD,56.8806,True,False,False,-1.9144999999999968,2.244400000000006
2026-06-12,499.685,521.71,494.0,511.57,31618462.0,AMD,60.4539,True,False,False,5.1055999999999955,7.020099999999992
2026-06-15,535.75,558.37,530.5,547.26,33482425.0,AMD,65.2423,True,False,False,14.8521,9.746500000000005
2026-06-16,546.89,548.95,507.25,507.29,28411694.0,AMD,56.9287,True,False,False,0.04809999999999803,-14.804000000000002
2026-06-17,529.655,532.5,507.3008,512.48,27085340.0,AMD,57.6827,True,False,False,-2.7712000000000003,-2.8192999999999984
2026-06-18,531.58,539.69,526.315,537.37,43805645.0,AMD,61.1917,True,False,False,-4.050600000000003,-1.2794000000000025
2026-06-22,545.5,562.9899,535.7101,551.63,25983245.0,AMD,63.0805,True,False,False,6.1518000000000015,10.202400000000004
2026-06-23,509.08,528.489,506.81,519.85,30196780.0,AMD,56.4826,True,False,False,-1.200099999999999,-7.3519000000000005
2026-06-24,520.82,524.96,503.5,519.74,26548270.0,AMD,56.4606,True,False,False,-4.731099999999998,-3.530999999999999
2026-06-25,543.93,550.88,507.0,532.57,27115339.0,AMD,58.4925,True,False,False,-4.588000000000001,0.1430999999999969
2026-06-26,519.795,525.11,502.61,521.58,52705137.0,AMD,56.0783,True,False,False,-0.4042999999999992,4.183700000000002
2026-06-29,522.84,542.19,495.35,539.49,26671016.0,AMD,59.045,True,False,False,2.5844000000000023,2.9887000000000015
2026-06-30,545.57,584.73,545.565,580.91,34488503.0,AMD,64.9425,True,False,False,6.449999999999996,3.8655999999999935
2026-07-01,557.53,564.09,538.74,540.88,28326776.0,AMD,56.478,True,False,False,0.39970000000000283,-6.050299999999993
2026-07-02,538.16,547.65,506.0,517.82,28228930.0,AMD,52.2529,True,False,False,-6.792100000000005,-7.191800000000008
2026-07-06,535.35,572.5,527.0,552.05,30684180.0,AMD,57.353,True,False,False,-7.589499999999994,-0.797399999999989
2026-07-07,515.91,524.97,503.11,516.11,29166801.0,AMD,51.1725,True,False,False,-5.305500000000002,2.283999999999992
2026-07-08,504.805,522.98,498.15,517.405,23768536.0,AMD,51.3758,True,False,False,-0.8770999999999987,4.4284000000000034
2026-07-09,537.265,559.5,535.2,546.72,26900808.0,AMD,55.8571,True,False,False,-1.495899999999999,-0.6188000000000002
2026-07-10,544.005,560.25,540.05,557.89,20704530.0,AMD,57.4656,True,False,False,6.293100000000003,7.7890000000000015
2026-07-13,537.5,551.87,526.92,534.39,22957350.0,AMD,53.083,True,False,False,1.7072000000000003,-4.585900000000002
2026-07-14,567.22,574.2,546.77,548.13,21201370.0,AMD,55.2328,True,False,False,-0.6243000000000052,-2.3315000000000055
2026-07-15,556.02,558.89,509.57,529.14,27826203.0,AMD,51.7064,True,False,False,-5.7592,-5.134899999999995
2026-07-16,509.33,518.74,491.8,500.94,27093696.0,AMD,46.9162,False,False,False,-6.166799999999995,-0.4075999999999951
2026-07-17,476.88,505.8795,460.21,495.76,32115875.0,AMD,46.0719,False,False,False,-9.160899999999998,-2.994100000000003
2026-07-20,516.995,522.44,502.36,503.57,23440720.0,AMD,47.603,False,False,False,-4.103400000000001,5.057499999999997
2026-07-21,526.0,548.1399,522.6001,544.43,29045125.0,AMD,54.8287,True,False,False,7.912499999999994,12.015899999999995
2026-07-22,526.875,561.47,526.6,552.33,24776665.0,AMD,56.0895,True,False,False,10.017600000000002,2.1051000000000073
2026-07-23,544.74,556.49,525.0,539.69,27155083.0,AMD,53.5157,True,False,False,5.912700000000001,-4.104900000000001
2026-07-24,546.92,549.0,518.0,521.95,27200730.0,AMD,50.0448,True,False,False,-4.783899999999996,-10.696599999999997
2026-07-27,527.505,528.0,476.93,494.95,31800253.0,AMD,45.2359,False,False,False,-10.8536,-6.0697000000000045
2026-07-28,467.0,472.75,442.27,454.62,36315461.0,AMD,39.1797,False,False,False,-14.336000000000006,-3.4824000000000055
2026-07-29,452.675,457.22,424.0316,429.56,32304898.0,AMD,35.9583,False,False,False,-14.086500000000001,0.24950000000000472
2026-07-30,460.0,498.2,457.68,485.39,36936565.0,AMD,46.5102,False,False,False,1.2742999999999967,15.360799999999998
2026-07-31,510.275,515.62,475.76,476.15,26615744.0,AMD,45.1833,False,False,False,6.003600000000006,4.729300000000009
2026-08-03,461.79,490.9464,455.3,484.64,24422256.0,AMD,46.6883,False,False,False,10.729999999999997,4.726399999999991
2026-08-04,504.0,530.13,502.2,518.58,48463564.0,AMD,52.3235,True,False,False,5.813300000000005,-4.916699999999992
2026-08-05,484.495,502.0,478.2,482.05,49615835.0,AMD,46.6125,False,False,False,1.4291999999999945,-4.384100000000011
2026-08-06,471.75,496.72,469.5,489.28,24675347.0,AMD,47.8263,False,False,False,1.1380000000000052,-0.29119999999998925
2026-08-07,497.94,498.99,476.06,483.36,26618791.0,AMD,46.8863,False,False,False,-5.437200000000004,-6.5752000000000095
2026-08-10,477.09,483.36,469.29,469.56,19656615.0,AMD,44.6817,False,False,False,-1.9307999999999979,3.5064000000000064
2026-08-11,474.75,475.99,463.21,474.32,18052466.0,AMD,45.6313,False,False,False,-2.1950000000000003,-0.26420000000000243
2026-08-12,488.32,491.6899,480.88,482.93,18628269.0,AMD,47.3905,False,False,False,0.5042000000000044,2.6992000000000047
2026-08-13,483.0,497.99,481.0,483.01,18764893.0,AMD,47.4075,False,False,False,2.7257999999999996,2.221599999999995
2026-08-14,487.6,514.67,483.2,514.39,25570295.0,AMD,53.7333,True,False,False,8.101999999999997,5.376199999999997
2026-08-17,514.16,517.3493,504.52,506.0,20057628.0,AMD,51.9347,True,False,False,4.5441999999999965,-3.5578000000000003
2026-08-18,487.56,491.81,474.975,484.39,23721548.0,AMD,47.5223,False,False,False,0.11480000000000246,-4.429399999999994
2026-08-19,486.08,487.005,462.55,466.42,19208418.0,AMD,44.1623,False,False,False,-9.570999999999998,-9.6858
2026-08-20,465.67,475.5299,460.27,469.455,15178892.0,AMD,44.8712,False,False,False,-7.063499999999998,2.5075000000000003
2026-08-21,476.495,477.36,462.111,473.25,14343885.0,AMD,45.798,False,False,False,-1.7242999999999995,5.339199999999998
2026-08-24,468.54,468.54,451.0,456.745,16602165.0,AMD,42.4553,False,False,False,-1.7070000000000007,0.01729999999999876
2026-08-25,474.2,481.5,469.07,479.18,19001388.0,AMD,48.01,False,False,False,3.1387999999999963,4.845799999999997
2026-08-26,475.07,491.12,474.58,480.93,14348127.0,AMD,48.4282,False,False,False,2.630199999999995,-0.5086000000000013
