,open,high,low,close,volume,symbol
2025-10-30,377.71,384.7,376.105,379.55,2384331.0,HD
2025-10-31,376.96,380.94,375.0101,379.59,2643518.0,HD
2025-11-03,377.01,378.48,373.68,378.35,2897752.0,HD
2025-11-04,377.35,383.68,376.75,383.08,2589981.0,HD
2025-11-05,382.79,383.415,370.53,373.84,4696161.0,HD
2025-11-06,371.82,372.656,367.55,369.07,3622112.0,HD
2025-11-07,368.99,373.65,367.57,371.11,2766351.0,HD
2025-11-10,369.79,370.66,363.45,370.43,3257923.0,HD
2025-11-11,371.99,376.0,370.91,374.24,2407418.0,HD
2025-11-12,372.06,373.56,369.01,371.13,3376097.0,HD
2025-11-13,371.66,373.515,366.62,368.07,3035094.0,HD
2025-11-14,365.91,367.33,359.8,362.36,3413298.0,HD
2025-11-17,361.13,363.78,356.1,358.03,5127166.0,HD
2025-11-18,339.98,348.8,336.01,336.48,10168537.0,HD
2025-11-19,340.97,341.75,331.37,334.5,7595034.0,HD
2025-11-20,336.36,338.9025,332.13,332.38,4025333.0,HD
2025-11-21,334.57,346.92,333.0,343.32,7441277.0,HD
2025-11-24,342.2,343.71,336.55,336.58,6132934.0,HD
2025-11-25,339.0,353.0,338.85,351.07,6316629.0,HD
2025-11-26,350.26,357.33,349.0,355.47,4517336.0,HD
2025-11-28,354.93,357.825,353.5,356.92,2119563.0,HD
2025-12-01,354.05,362.29,352.88,357.33,5107050.0,HD
2025-12-02,356.825,357.5,351.3,354.03,3965584.0,HD
2025-12-03,354.5,360.47,353.75,357.91,4166715.0,HD
2025-12-04,356.285,357.51,350.0,351.17,4022768.0,HD
2025-12-05,350.65,355.62,349.525,354.61,5959500.0,HD
2025-12-08,351.95,352.09,345.7,349.91,6979402.0,HD
2025-12-09,347.76,356.67,344.96,345.27,5056163.0,HD
2025-12-10,344.1,352.02,344.0,351.13,6316138.0,HD
2025-12-11,356.0,362.72,353.94,357.46,6609845.0,HD
2025-12-12,359.26,360.76,356.05,359.65,3861179.0,HD
2025-12-15,359.39,362.67,355.62,356.99,4387449.0,HD
2025-12-16,356.9,358.7397,351.8101,352.68,3497183.0,HD
2025-12-17,351.97,357.5,350.9839,356.75,3875570.0,HD
2025-12-18,363.54,366.3,354.555,354.99,4805210.0,HD
2025-12-19,354.11,354.11,344.92,345.0,12825633.0,HD
2025-12-22,345.305,347.899,343.7,346.39,3523731.0,HD
2025-12-23,344.0,347.5,341.94,344.97,3873404.0,HD
2025-12-24,344.34,348.26,343.9,347.34,1368553.0,HD
2025-12-26,346.99,350.05,346.57,349.78,1786872.0,HD
2025-12-29,350.0,350.32,344.75,347.45,3790318.0,HD
2025-12-30,346.03,346.98,343.72,346.35,2393017.0,HD
2025-12-31,345.5,346.71,343.97,344.1,2317891.0,HD
2026-01-02,343.43,348.49,340.92,345.82,3763403.0,HD
2026-01-05,342.7,347.35,341.25,344.09,4725346.0,HD
2026-01-06,341.5,350.6835,337.71,349.29,4680348.0,HD
2026-01-07,353.34,358.5,349.03,349.06,4442707.0,HD
2026-01-08,345.31,363.24,344.1,359.56,5196488.0,HD
2026-01-09,363.5,375.49,361.31,374.64,7093463.0,HD
2026-01-12,374.64,376.42,369.25,374.94,5859777.0,HD
2026-01-13,375.865,380.18,370.82,379.74,4785799.0,HD
2026-01-14,376.69,380.09,373.97,375.95,4959895.0,HD
2026-01-15,376.02,380.18,374.46,379.16,2990132.0,HD
2026-01-16,379.25,382.7699,377.51,380.17,3709005.0,HD
2026-01-20,372.24,377.34,371.3,375.11,5346827.0,HD
2026-01-21,375.8,385.92,374.675,384.64,5169763.0,HD
2026-01-22,386.45,390.6,380.53,381.03,4828094.0,HD
2026-01-23,381.5,384.3745,379.21,383.77,3138301.0,HD
2026-01-26,385.0,387.42,381.95,386.53,3984977.0,HD
2026-01-27,384.95,386.5,378.27,380.36,3423443.0,HD
2026-01-28,380.21,381.0,373.65,375.3,3371493.0,HD
2026-01-29,374.9,377.09,370.15,371.81,4744524.0,HD
2026-01-30,372.41,375.12,368.55,374.59,3755790.0,HD
2026-02-02,374.24,379.65,368.24,378.12,4757439.0,HD
2026-02-03,377.29,391.78,377.0,381.1,5609989.0,HD
2026-02-04,384.59,390.532,384.36,387.2,5574739.0,HD
2026-02-05,386.68,387.0,380.83,382.37,3759703.0,HD
2026-02-06,381.34,386.37,379.1032,385.15,4685403.0,HD
2026-02-09,384.36,385.78,378.2,381.0,3639329.0,HD
2026-02-10,383.81,391.7425,381.935,389.68,3160838.0,HD
2026-02-11,385.0,391.42,382.08,390.68,3229866.0,HD
2026-02-12,393.55,397.63,389.0,390.22,3702230.0,HD
2026-02-13,390.2,394.0,387.1,391.05,2875923.0,HD
2026-02-17,392.23,394.0,380.5,383.04,3485285.0,HD
2026-02-18,382.75,385.119,379.54,383.52,2982644.0,HD
2026-02-19,383.74,383.74,377.39,378.58,2930887.0,HD
2026-02-20,377.45,384.82,375.9482,382.25,3984167.0,HD
2026-02-23,380.99,384.14,369.58,376.99,5495670.0,HD
2026-02-24,389.11,394.35,382.21,384.48,5675810.0,HD
2026-02-25,381.07,381.435,371.37,375.57,5036873.0,HD
2026-02-26,378.4,381.48,374.935,375.09,2889806.0,HD
2026-02-27,373.86,382.19,372.34,380.72,4819535.0,HD
2026-03-02,375.0,375.11,369.0,370.81,4537578.0,HD
2026-03-03,363.73,368.775,360.12,366.92,3965089.0,HD
2026-03-04,366.2,369.57,361.5146,369.11,4324435.0,HD
2026-03-05,366.12,366.98,359.2,361.68,4755978.0,HD
2026-03-06,357.54,359.45,353.22,357.92,4167616.0,HD
2026-03-09,355.6,356.49,345.64,353.56,4224458.0,HD
2026-03-10,353.04,361.64,351.02,357.15,3986011.0,HD
2026-03-11,355.46,356.32,349.11,350.84,3200119.0,HD
2026-03-12,346.04,348.67,338.7,338.93,3893565.0,HD
2026-03-13,341.69,343.42,338.03,339.03,2531908.0,HD
2026-03-16,342.44,345.24,340.65,342.58,3194835.0,HD
2026-03-17,344.89,346.78,340.939,341.43,3076205.0,HD
2026-03-18,338.6,339.8,330.14,330.93,3592173.0,HD
2026-03-19,328.96,330.23,324.63,328.21,3845436.0,HD
2026-03-20,327.75,330.23,320.2645,320.75,9672177.0,HD
2026-03-23,331.99,334.72,328.2106,330.9,5806268.0,HD
2026-03-24,325.9,332.5215,323.02,330.91,4566359.0,HD
2026-03-25,335.0,337.185,326.99,332.51,4397793.0,HD
