,open,high,low,close,volume,symbol
2026-04-15,239.935,240.42,236.75,238.67,6463456.0,JNJ
2026-04-16,237.42,238.14,232.12,234.54,8668883.0,JNJ
2026-04-17,234.36,235.54,232.04,234.18,8946288.0,JNJ
2026-04-20,234.81,235.26,229.53,230.69,7810471.0,JNJ
2026-04-21,229.35,229.69,224.7,226.16,11681243.0,JNJ
2026-04-22,226.18,227.48,223.775,226.1,9003352.0,JNJ
2026-04-23,227.25,231.39,227.03,230.65,7097642.0,JNJ
2026-04-24,229.03,229.99,227.02,227.5,6067521.0,JNJ
2026-04-27,225.77,227.91,224.3543,225.34,7897807.0,JNJ
2026-04-28,227.73,231.03,226.37,227.79,7179849.0,JNJ
2026-04-29,225.52,228.71,224.86,227.35,7071144.0,JNJ
2026-04-30,227.95,231.16,227.81,229.85,8157165.0,JNJ
2026-05-01,229.06,229.77,227.02,227.19,6863587.0,JNJ
2026-05-04,225.51,227.07,223.58,224.2,8215235.0,JNJ
2026-05-05,225.39,226.53,224.9,225.55,5556720.0,JNJ
2026-05-06,225.25,226.34,222.95,224.62,7982250.0,JNJ
2026-05-07,224.78,224.78,220.63,222.51,7269708.0,JNJ
2026-05-08,222.94,223.37,220.9201,221.32,5550555.0,JNJ
2026-05-11,221.32,223.28,220.37,221.43,6223182.0,JNJ
2026-05-12,223.0,227.65,221.6456,224.26,8632470.0,JNJ
2026-05-13,225.82,230.797,225.4382,230.42,7464490.0,JNJ
2026-05-14,231.0,231.76,229.16,230.8,6974439.0,JNJ
2026-05-15,230.77,232.135,226.44,226.71,12166950.0,JNJ
2026-05-18,226.71,229.7,225.86,228.92,10141610.0,JNJ
2026-05-19,228.935,230.85,228.04,230.0,9677943.0,JNJ
2026-05-20,231.69,232.0,229.17,229.32,6551994.0,JNJ
2026-05-21,229.315,231.89,227.35,231.73,5239027.0,JNJ
2026-05-22,233.0,235.495,232.72,234.34,5464729.0,JNJ
2026-05-26,233.0,233.24,229.08,230.18,6623641.0,JNJ
2026-05-27,229.98,232.89,229.0205,231.29,5836343.0,JNJ
2026-05-28,230.03,231.87,229.73,230.8,7194961.0,JNJ
2026-05-29,231.23,231.5,224.585,225.33,13901493.0,JNJ
2026-06-01,223.2,224.44,220.84,223.51,8040997.0,JNJ
2026-06-02,222.58,225.5,221.17,222.89,5668958.0,JNJ
2026-06-03,222.45,224.93,222.0,223.24,6507220.0,JNJ
2026-06-04,227.09,228.67,225.9,228.17,7274807.0,JNJ
2026-06-05,230.0,235.215,229.0,232.77,8034922.0,JNJ
2026-06-08,232.77,234.95,230.5601,232.16,7559782.0,JNJ
2026-06-09,232.38,237.71,230.41,237.0,8354459.0,JNJ
2026-06-10,238.85,240.93,237.05,238.49,8350790.0,JNJ
2026-06-11,240.0,241.6,238.14,238.33,7398981.0,JNJ
2026-06-12,240.0,240.91,237.52,240.87,6459438.0,JNJ
2026-06-15,239.0,239.5,233.5801,235.66,7731954.0,JNJ
2026-06-16,236.37,236.37,231.02,235.18,7718142.0,JNJ
2026-06-17,234.03,235.4299,230.7,234.2,8548042.0,JNJ
2026-06-18,231.78,232.75,227.6,228.39,18989761.0,JNJ
2026-06-22,228.95,231.45,227.5,231.29,8518348.0,JNJ
2026-06-23,235.64,239.8,234.35,239.08,11802001.0,JNJ
2026-06-24,239.89,243.04,238.75,241.0,8139188.0,JNJ
2026-06-25,241.27,248.19,240.885,244.88,10134552.0,JNJ
2026-06-26,248.27,255.11,247.87,254.66,16316770.0,JNJ
2026-06-29,253.19,258.58,252.0254,258.51,8608378.0,JNJ
2026-06-30,259.0,259.9,253.1701,253.97,8469520.0,JNJ
2026-07-01,253.25,254.2,251.075,253.98,6516504.0,JNJ
2026-07-02,255.78,263.1,254.0,263.04,8000738.0,JNJ
2026-07-06,260.225,261.38,255.93,259.33,6803700.0,JNJ
2026-07-07,264.89,269.43,264.045,267.24,9089652.0,JNJ
2026-07-08,268.6,268.6,263.13,263.4,6769425.0,JNJ
2026-07-09,260.63,263.45,258.13,259.1,6426079.0,JNJ
2026-07-10,260.19,261.3,255.52,256.98,6534728.0,JNJ
2026-07-13,257.95,259.525,256.15,257.77,5272240.0,JNJ
2026-07-14,255.53,256.39,252.14,253.85,8770553.0,JNJ
2026-07-15,250.09,256.83,246.05,247.02,10547295.0,JNJ
2026-07-16,248.9,253.545,246.3,249.97,11097643.0,JNJ
2026-07-17,252.59,255.66,251.95,253.04,10167706.0,JNJ
2026-07-20,252.01,254.175,248.63,248.82,8114657.0,JNJ
2026-07-21,247.45,251.3407,245.49,250.61,7793070.0,JNJ
2026-07-22,252.76,256.2899,251.21,255.63,9100164.0,JNJ
2026-07-23,255.24,260.2,254.42,259.27,8063250.0,JNJ
2026-07-24,261.43,263.71,259.61,263.4,6351847.0,JNJ
2026-07-27,262.55,268.8,261.35,265.95,9647870.0,JNJ
2026-07-28,270.0,274.9,266.18,266.73,10497911.0,JNJ
2026-07-29,268.5,269.34,264.79,265.53,6111627.0,JNJ
2026-07-30,259.03,260.52,254.5612,255.82,8219560.0,JNJ
2026-07-31,256.01,258.48,253.2901,256.35,6782065.0,JNJ
2026-08-03,254.97,257.75,250.91,254.41,8136276.0,JNJ
2026-08-04,254.41,255.52,250.44,254.93,7362394.0,JNJ
2026-08-05,255.25,259.32,254.47,257.59,6472628.0,JNJ
2026-08-06,261.71,262.11,255.28,256.98,6931752.0,JNJ
2026-08-07,255.89,259.6,255.12,259.24,6532116.0,JNJ
2026-08-10,259.06,262.0,258.55,261.81,8985115.0,JNJ
2026-08-11,261.23,264.15,258.36,259.8,5945941.0,JNJ
2026-08-12,256.0,261.41,255.255,260.86,4629325.0,JNJ
2026-08-13,261.725,262.62,259.6475,262.08,4852713.0,JNJ
2026-08-14,260.65,261.71,259.16,260.35,4998288.0,JNJ
2026-08-17,258.87,264.2775,258.01,262.37,5515539.0,JNJ
2026-08-18,267.67,271.73,266.33,271.11,7838157.0,JNJ
2026-08-19,272.995,276.47,270.56,273.41,7728511.0,JNJ
2026-08-20,273.4,273.4,267.37,267.37,6475879.0,JNJ
2026-08-21,267.83,272.655,267.0,270.24,6186832.0,JNJ
2026-08-24,269.74,273.98,268.57,273.04,5437473.0,JNJ
2026-08-25,271.0,273.8021,270.175,273.14,4688017.0,JNJ
2026-08-26,271.97,272.905,269.55,270.0,7220371.0,JNJ
2026-08-27,268.45,268.45,263.83,265.77,7311379.0,JNJ
2026-08-28,265.78,268.38,264.27,268.04,5766429.0,JNJ
2026-08-31,267.125,267.77,265.17,265.85,7900418.0,JNJ
2026-09-01,270.83,271.91,267.02,271.19,6035314.0,JNJ
2026-09-02,274.74,281.07,273.53,275.21,7913032.0,JNJ
2026-09-03,277.32,278.89,273.155,278.43,5940829.0,JNJ
2026-09-04,275.13,277.8,274.75,275.23,4320878.0,JNJ
