,open,high,low,close,volume,symbol
2025-10-30,305.79,312.61,305.1,309.44,7514556.0,JPM
2025-10-31,308.54,312.87,307.25,311.12,7721297.0,JPM
2025-11-03,311.0,312.32,306.21,309.35,7770040.0,JPM
2025-11-04,306.71,312.22,305.1,309.25,7085164.0,JPM
2025-11-05,309.61,313.1,305.63,311.68,6832481.0,JPM
2025-11-06,310.99,314.84,310.26,313.42,7206111.0,JPM
2025-11-07,311.89,314.43,307.642,314.21,7302347.0,JPM
2025-11-10,315.0,319.555,314.21,316.89,5794505.0,JPM
2025-11-11,317.5,319.05,315.28,315.62,5030216.0,JPM
2025-11-12,316.26,322.25,316.21,320.41,10578266.0,JPM
2025-11-13,319.23,320.6325,309.1,309.48,8973258.0,JPM
2025-11-14,307.51,307.64,301.23,303.61,10326983.0,JPM
2025-11-17,304.0,305.59,297.6714,300.37,8344046.0,JPM
2025-11-18,299.5,302.945,297.02,299.41,8077315.0,JPM
2025-11-19,299.74,304.4499,299.265,303.27,5546555.0,JPM
2025-11-20,306.34,309.92,298.16,298.38,7501582.0,JPM
2025-11-21,301.29,301.68,292.8101,298.02,11766810.0,JPM
2025-11-24,298.24,299.82,294.51,298.0,10940186.0,JPM
2025-11-25,300.05,304.5,295.56,303.0,8877188.0,JPM
2025-11-26,305.0,308.525,303.2,307.64,7910851.0,JPM
2025-11-28,309.1,313.72,308.24,313.08,4322448.0,JPM
2025-12-01,312.95,314.04,308.54,308.92,7727324.0,JPM
2025-12-02,308.74,310.48,307.09,307.88,7249043.0,JPM
2025-12-03,307.2,312.36,306.8,312.13,8535260.0,JPM
2025-12-04,313.26,318.49,313.0,316.1,9627834.0,JPM
2025-12-05,315.64,318.48,314.68,315.04,6518908.0,JPM
2025-12-08,315.06,316.47,313.3501,315.21,6996450.0,JPM
2025-12-09,314.95,318.8,300.02,300.51,17731748.0,JPM
2025-12-10,300.5,311.19,298.46,310.11,18874092.0,JPM
2025-12-11,309.24,318.0,309.24,317.38,9721859.0,JPM
2025-12-12,319.68,320.27,316.6013,318.52,8982911.0,JPM
2025-12-15,319.59,322.88,318.39,320.02,10864122.0,JPM
2025-12-16,319.09,319.52,314.4,315.55,8331336.0,JPM
2025-12-17,318.43,319.37,314.66,314.98,8718653.0,JPM
2025-12-18,316.0,317.7,312.22,313.0,11444909.0,JPM
2025-12-19,313.79,318.56,313.19,317.21,24494412.0,JPM
2025-12-22,317.51,323.23,317.51,323.09,8354588.0,JPM
2025-12-23,323.61,327.78,323.09,325.93,6668305.0,JPM
2025-12-24,326.24,329.99,325.5014,329.17,4289306.0,JPM
2025-12-26,329.11,330.86,326.54,327.91,4158293.0,JPM
2025-12-29,327.0,327.77,323.53,323.75,8635338.0,JPM
2025-12-30,324.81,324.94,322.49,323.42,7904263.0,JPM
2025-12-31,324.34,324.875,322.04,322.22,5048531.0,JPM
2026-01-02,322.5,325.73,320.74,325.48,8054040.0,JPM
2026-01-05,325.5,337.25,325.19,334.04,10752627.0,JPM
2026-01-06,332.62,335.87,330.65,334.61,7660787.0,JPM
2026-01-07,331.14,332.1499,324.6,326.99,9815240.0,JPM
2026-01-08,326.39,331.4,325.65,329.79,11737068.0,JPM
2026-01-09,329.34,331.9,328.17,329.19,6738143.0,JPM
2026-01-12,321.884,326.02,321.23,324.49,12805062.0,JPM
2026-01-13,324.3,326.86,310.572,310.9,19371171.0,JPM
2026-01-14,308.2,311.76,306.12,307.87,25951464.0,JPM
2026-01-15,308.47,312.94,307.75,309.26,14751447.0,JPM
2026-01-16,310.35,317.21,310.0,312.47,14652508.0,JPM
2026-01-20,306.21,311.15,301.86,302.74,12670888.0,JPM
2026-01-21,303.425,305.4,301.15,302.04,10270144.0,JPM
2026-01-22,304.86,308.2,302.9,303.63,10535822.0,JPM
2026-01-23,302.0,302.37,296.51,297.72,11107925.0,JPM
2026-01-26,297.81,301.775,297.45,301.04,11752666.0,JPM
2026-01-27,301.33,301.97,298.15,300.31,11328683.0,JPM
2026-01-28,300.27,301.92,298.05,300.77,9556743.0,JPM
2026-01-29,302.4,306.83,302.215,306.42,11579987.0,JPM
2026-01-30,305.25,307.93,302.555,305.89,11953180.0,JPM
2026-02-02,304.46,309.3,301.37,308.14,9839360.0,JPM
2026-02-03,309.73,316.25,309.095,314.85,11022015.0,JPM
2026-02-04,314.405,319.305,314.405,317.27,9848802.0,JPM
2026-02-05,315.0,316.01,305.54,310.16,9387999.0,JPM
2026-02-06,314.71,324.245,314.71,322.4,17797443.0,JPM
