,open,high,low,close,volume,symbol
2026-04-15,667.0,678.5,664.22,671.58,14952577.0,META
2026-04-16,675.99,677.58,667.75,676.87,9544835.0,META
2026-04-17,678.6,691.52,675.13,688.55,16283480.0,META
2026-04-20,681.36,683.38,668.0,670.91,12533951.0,META
2026-04-21,671.0,676.2,667.33,668.84,8660100.0,META
2026-04-22,674.355,678.38,669.75,674.72,9215603.0,META
2026-04-23,663.7,669.56,653.05,659.15,11666981.0,META
2026-04-24,660.32,680.67,653.8401,675.03,13348279.0,META
2026-04-27,670.995,682.5,670.84,678.62,12805222.0,META
2026-04-28,674.24,678.18,665.625,671.34,10606755.0,META
2026-04-29,668.91,674.25,663.8084,669.12,18947464.0,META
2026-04-30,619.32,620.85,600.0,611.91,52764984.0,META
2026-05-01,614.69,618.88,606.11,608.745,21404028.0,META
2026-05-04,607.935,614.0,602.7501,610.41,16203902.0,META
2026-05-05,613.31,614.35,600.36,604.96,17171301.0,META
2026-05-06,601.05,619.95,598.1,612.88,19915460.0,META
2026-05-07,614.72,624.98,613.5401,616.81,12307372.0,META
2026-05-08,615.2,616.77,606.0601,609.63,13556963.0,META
2026-05-11,604.57,604.9069,598.0801,598.86,15940622.0,META
2026-05-12,594.815,603.745,592.6,603.0,11351559.0,META
2026-05-13,598.83,619.9,596.6601,616.63,14634394.0,META
2026-05-14,616.0,623.73,615.0,618.43,10651173.0,META
2026-05-15,613.99,621.1999,609.31,614.23,13272567.0,META
2026-05-18,609.105,615.59,603.69,611.21,13772443.0,META
2026-05-19,608.92,613.93,600.55,602.61,11749947.0,META
2026-05-20,600.755,608.0,597.81,605.06,11217028.0,META
2026-05-21,600.0,609.6,594.8083,607.38,13476078.0,META
2026-05-22,607.88,614.81,606.95,610.26,11688623.0,META
2026-05-26,608.89,614.47,605.3001,612.34,12234166.0,META
2026-05-27,609.395,638.4999,609.0,635.255,23143594.0,META
2026-05-28,639.495,643.0,629.31,635.29,16772379.0,META
2026-05-29,633.5,634.5,623.35,632.51,19806536.0,META
2026-06-01,630.4,635.7499,599.53,600.47,29138805.0,META
2026-06-02,603.24,608.88,596.68,597.63,18251964.0,META
2026-06-03,603.0,624.15,600.27,622.98,23020056.0,META
2026-06-04,623.67,642.4,622.43,627.57,21469248.0,META
2026-06-05,623.46,629.145,582.91,593.0,30091610.0,META
2026-06-08,592.0,592.0,579.22,585.39,19512436.0,META
2026-06-09,591.0,597.63,581.01,584.59,16977383.0,META
2026-06-10,580.73,591.32,570.6,570.98,17064048.0,META
2026-06-11,565.83,572.17,557.01,568.43,17627966.0,META
2026-06-12,572.95,576.07,560.9,566.98,14347769.0,META
2026-06-15,579.9,601.27,579.2975,593.48,17653258.0,META
2026-06-16,593.65,605.81,592.0,600.21,11344421.0,META
2026-06-17,592.002,593.81,566.19,567.58,20478308.0,META
2026-06-18,572.82,580.215,563.1,577.22,28824630.0,META
2026-06-22,572.02,575.81,559.81,563.85,15405511.0,META
2026-06-23,562.245,572.2,561.02,562.2,13103316.0,META
2026-06-24,561.89,569.04,555.55,557.67,13963570.0,META
2026-06-25,555.553,556.34,540.18,542.87,16968639.0,META
2026-06-26,543.34,556.85,540.4,550.25,18867706.0,META
2026-06-29,560.0,570.9,558.0,562.6,15011399.0,META
2026-06-30,560.94,565.535,551.43,563.29,18111082.0,META
2026-07-01,607.91,628.28,595.1,612.91,45536306.0,META
2026-07-02,607.895,610.0,580.42,582.9,21750522.0,META
2026-07-06,594.84,603.58,581.76,600.29,17674068.0,META
2026-07-07,607.59,625.37,603.66,615.58,18560849.0,META
2026-07-08,614.385,616.0,598.0105,603.12,13606507.0,META
2026-07-09,583.99,633.27,577.07,631.48,26579689.0,META
2026-07-10,660.335,677.86,658.01,669.21,40608860.0,META
2026-07-13,661.38,676.62,654.2,656.73,19840702.0,META
2026-07-14,652.0,666.5,649.05,661.04,16748239.0,META
2026-07-15,663.6,686.08,656.6601,681.31,19003379.0,META
2026-07-16,677.275,681.9,660.16,664.54,15815978.0,META
2026-07-17,647.7,652.2,626.0,646.01,22267862.0,META
2026-07-20,646.7,653.3,636.0105,645.85,10225186.0,META
2026-07-21,654.18,655.88,643.2,643.81,9140455.0,META
2026-07-22,647.7,648.998,624.0,627.17,11019559.0,META
2026-07-23,608.41,614.65,597.22,606.1,15494842.0,META
2026-07-24,605.3,609.98,594.45,595.19,11503473.0,META
2026-07-27,607.22,611.26,593.13,593.87,11195251.0,META
2026-07-28,596.82,601.0,587.0,593.41,12009255.0,META
2026-07-29,593.25,599.97,582.22,585.61,22371067.0,META
2026-07-30,526.0,539.88,524.49,539.03,42271465.0,META
2026-07-31,543.6,558.33,540.22,556.71,24261457.0,META
2026-08-03,562.24,597.52,559.36,590.24,25938067.0,META
2026-08-04,581.5,592.787,578.25,587.94,17959238.0,META
2026-08-05,600.455,601.0,580.12,588.77,14897162.0,META
2026-08-06,586.95,595.31,585.995,589.9,11811461.0,META
2026-08-07,585.64,598.7399,585.62,592.1,11250258.0,META
2026-08-10,599.13,608.21,592.0301,594.92,14967328.0,META
2026-08-11,598.0,612.43,593.4,599.12,13146894.0,META
2026-08-12,601.065,604.499,578.21,578.85,16186915.0,META
2026-08-13,580.71,595.85,579.39,594.97,11164157.0,META
2026-08-14,596.98,601.86,589.29,589.85,8757974.0,META
2026-08-17,589.75,590.24,564.75,568.97,17225609.0,META
2026-08-18,557.48,560.66,543.21,543.67,27094871.0,META
2026-08-19,541.34,554.07,537.27,546.03,16971739.0,META
2026-08-20,546.95,549.988,539.31,545.83,13872173.0,META
