,open,high,low,close,volume,symbol,rsi,rsi_bullish,rsi_overbought,rsi_oversold,rsi_slope,rsi_acceleration
2026-04-15,398.0,414.3699,396.73,411.22,45063389.0,MSFT,67.2583,True,False,False,,
2026-04-16,419.86,420.82,412.14,420.26,41642361.0,MSFT,70.7796,True,True,False,,
2026-04-17,424.82,431.58,420.69,422.79,48568190.0,MSFT,71.697,True,True,False,,
2026-04-20,421.145,423.33,416.3,418.07,27582237.0,MSFT,67.4428,True,False,False,0.1844999999999999,
2026-04-21,420.24,427.18,417.2,424.16,32048495.0,MSFT,69.9226,True,False,False,-0.8569999999999993,-1.0414999999999992
2026-04-22,426.185,433.7,423.67,432.92,29378173.0,MSFT,73.0969,True,True,False,1.3999000000000024,2.2569000000000017
2026-04-23,419.885,423.66,411.4101,415.75,38307959.0,MSFT,59.7797,True,False,False,-7.663100000000007,-9.06300000000001
2026-04-24,416.97,424.95,415.8,424.62,27457404.0,MSFT,63.4811,True,False,False,-6.441500000000005,1.2216000000000022
2026-04-27,422.375,427.11,417.0701,424.82,30867303.0,MSFT,63.5626,True,False,False,-9.534300000000002,-3.092799999999997
2026-04-28,424.57,429.92,421.9,429.25,30438087.0,MSFT,65.4027,True,False,False,5.6229999999999976,15.1573
2026-04-29,424.575,426.82,420.29,424.46,38288316.0,MSFT,61.7703,True,False,False,-1.710799999999999,-7.3337999999999965
2026-04-30,410.81,414.42,398.01,407.78,70909408.0,MSFT,51.1226,True,False,False,-12.440000000000005,-10.729200000000006
2026-05-01,412.8,417.11,410.435,414.44,31372361.0,MSFT,54.4954,True,False,False,-10.9073,1.5327000000000055
2026-05-04,411.54,420.78,410.8,413.62,28066528.0,MSFT,54.0013,True,False,False,-7.768999999999998,3.138300000000001
2026-05-05,415.32,416.7799,408.8,411.38,25700891.0,MSFT,52.5983,True,False,False,1.4757000000000033,9.244700000000002
2026-05-06,408.0,418.4228,405.11,413.96,30285898.0,MSFT,54.0782,True,False,False,-0.417199999999994,-1.8928999999999974
2026-05-07,420.11,427.98,418.76,420.77,34942445.0,MSFT,57.8213,True,False,False,3.8200000000000003,4.237199999999994
2026-05-08,417.385,418.63,414.0,415.12,33383790.0,MSFT,53.8961,True,False,False,1.2977999999999952,-2.522200000000005
2026-05-11,407.87,412.69,405.5,412.66,35657943.0,MSFT,52.2335,True,False,False,-1.8447000000000031,-3.1424999999999983
2026-05-12,414.48,415.5,406.64,407.77,38594221.0,MSFT,48.9979,False,False,False,-8.8234,-6.978699999999996
2026-05-13,403.2,406.31,401.03,405.21,29667073.0,MSFT,47.3444,False,False,False,-6.551699999999997,2.2717000000000027
2026-05-14,404.48,411.84,400.88,409.43,27077542.0,MSFT,50.3205,True,False,False,-1.9129999999999967,4.6387
2026-05-15,414.27,428.17,412.91,421.92,50771160.0,MSFT,57.9043,True,False,False,8.906399999999998,10.819399999999995
2026-05-18,416.62,425.12,415.61,423.54,32564130.0,MSFT,58.7832,True,False,False,11.4388,2.5324000000000026
2026-05-19,429.9,432.7,416.49,417.42,33018678.0,MSFT,54.1811,True,False,False,3.860599999999998,-7.5782000000000025
2026-05-20,414.165,422.1,411.3001,421.06,27655979.0,MSFT,56.369,True,False,False,-1.5352999999999994,-5.3958999999999975
2026-05-21,424.75,426.34,415.71,419.09,31393469.0,MSFT,55.5373,True,False,False,-3.245899999999999,-1.7105999999999995
2026-05-22,419.535,424.4,416.33,418.57,22390344.0,MSFT,55.1069,True,False,False,0.9258000000000024,4.171700000000001
2026-05-26,416.43,419.77,413.02,416.03,30398049.0,MSFT,52.948,True,False,False,-3.4209999999999994,-4.346800000000002
2026-05-27,411.01,415.94,409.58,412.67,28901479.0,MSFT,50.1492,True,False,False,-5.388100000000001,-1.967100000000002
2026-05-28,412.975,429.49,412.67,426.99,47250541.0,MSFT,59.8822,True,False,False,4.775299999999994,10.163399999999996
