,open,high,low,close,volume,symbol
2025-10-30,149.47,150.8,149.34,149.58,6760702.0,PG
2025-10-31,148.71,151.1,148.53,150.37,7930334.0,PG
2025-11-03,150.095,150.22,147.77,148.02,8946383.0,PG
2025-11-04,148.595,149.5,146.25,147.17,9295449.0,PG
2025-11-05,146.87,147.42,145.65,145.79,10996812.0,PG
2025-11-06,145.88,146.68,144.46,146.13,10024549.0,PG
2025-11-07,146.95,147.94,146.0,146.98,8500097.0,PG
2025-11-10,146.38,146.62,144.09,145.5,10208085.0,PG
2025-11-11,145.955,148.65,145.67,148.54,7332540.0,PG
2025-11-12,148.53,149.15,147.51,148.01,7851052.0,PG
2025-11-13,148.18,149.0,147.64,147.96,7566789.0,PG
2025-11-14,149.1,149.38,147.61,147.67,9151066.0,PG
2025-11-17,147.75,147.98,145.01,145.82,9902310.0,PG
2025-11-18,146.325,147.39,145.51,146.99,10735177.0,PG
2025-11-19,146.96,147.54,145.86,146.99,6367038.0,PG
2025-11-20,146.64,148.655,146.13,148.19,9021325.0,PG
2025-11-21,148.38,151.5,148.3032,150.92,12017986.0,PG
2025-11-24,150.1,150.41,146.54,146.98,13846906.0,PG
2025-11-25,147.32,148.65,147.22,148.49,10477661.0,PG
2025-11-26,147.92,148.97,147.605,148.25,9238450.0,PG
2025-11-28,147.8,148.71,147.18,148.16,4707161.0,PG
2025-12-01,148.1,148.89,147.35,147.44,8240689.0,PG
2025-12-02,145.29,146.19,142.51,145.86,16376769.0,PG
2025-12-03,145.915,148.29,145.86,146.71,9125320.0,PG
2025-12-04,146.67,147.42,144.5,145.36,10479267.0,PG
2025-12-05,145.16,145.63,143.25,143.45,12791745.0,PG
2025-12-08,142.905,142.905,138.14,138.34,17291012.0,PG
2025-12-09,139.19,140.88,139.0,139.63,10354012.0,PG
2025-12-10,139.65,141.28,139.54,139.82,13650378.0,PG
2025-12-11,141.0,141.84,140.355,140.76,11797981.0,PG
2025-12-12,141.0,143.11,140.835,142.84,10268768.0,PG
2025-12-15,143.27,145.315,143.2,145.13,13877674.0,PG
2025-12-16,146.1,146.54,144.65,145.21,10251720.0,PG
2025-12-17,146.69,148.45,146.45,147.81,9833261.0,PG
2025-12-18,146.62,147.5,145.35,145.52,12239860.0,PG
2025-12-19,145.505,146.0476,143.94,144.46,19345622.0,PG
2025-12-22,143.705,144.395,142.42,142.69,11731360.0,PG
2025-12-23,142.49,143.73,142.08,143.18,9541563.0,PG
2025-12-24,142.9,144.74,142.83,144.49,3259209.0,PG
2025-12-26,144.31,145.64,144.31,144.74,4711505.0,PG
2025-12-29,144.8,145.07,143.945,144.57,7662127.0,PG
2025-12-30,144.29,144.46,143.57,144.05,6006432.0,PG
2025-12-31,144.0,144.135,143.23,143.31,5293220.0,PG
2026-01-02,143.11,143.34,141.24,141.79,8946091.0,PG
2026-01-05,141.1,141.35,139.6001,140.37,12297334.0,PG
2026-01-06,140.39,141.42,139.51,139.91,10421756.0,PG
2026-01-07,139.8,139.8,137.62,138.04,14369142.0,PG
2026-01-08,137.89,141.78,137.82,141.53,9297080.0,PG
2026-01-09,141.7,142.33,140.83,141.87,9528476.0,PG
2026-01-12,142.28,143.88,141.7124,143.46,12812014.0,PG
2026-01-13,144.0,144.34,142.97,144.24,15549150.0,PG
2026-01-14,144.68,146.9,144.37,146.35,13474983.0,PG
2026-01-15,145.68,146.35,144.35,144.63,10102757.0,PG
2026-01-16,143.76,144.73,143.655,144.53,11729334.0,PG
2026-01-20,144.46,147.0,144.12,147.0,12647663.0,PG
2026-01-21,147.06,147.37,144.97,146.06,14126814.0,PG
2026-01-22,148.08,150.91,147.5,149.93,18501854.0,PG
2026-01-23,150.84,151.645,149.8,150.15,14562626.0,PG
2026-01-26,150.115,150.88,148.52,149.49,12655663.0,PG
2026-01-27,148.07,149.64,147.925,148.34,9540687.0,PG
2026-01-28,148.0,148.71,146.79,147.34,7465812.0,PG
2026-01-29,147.29,150.13,147.113,149.9,11035563.0,PG
2026-01-30,150.43,151.97,149.145,151.77,12651426.0,PG
2026-02-02,152.42,153.725,151.25,153.19,10554872.0,PG
2026-02-03,152.59,156.53,152.2,155.32,12389999.0,PG
2026-02-04,156.125,158.37,155.76,156.87,12178463.0,PG
2026-02-05,158.84,159.645,156.12,158.61,13077657.0,PG
2026-02-06,158.24,159.99,158.01,159.17,10441737.0,PG
2026-02-09,158.76,159.28,156.02,157.33,11439942.0,PG
2026-02-10,157.53,160.15,156.72,159.08,9910099.0,PG
2026-02-11,158.64,161.14,158.19,160.0,10217309.0,PG
2026-02-12,160.02,163.14,159.65,161.21,13512862.0,PG
2026-02-13,161.74,162.57,159.705,160.07,13999208.0,PG
2026-02-17,159.95,162.17,158.88,159.55,13319135.0,PG
2026-02-18,158.98,158.98,155.77,156.86,14434308.0,PG
2026-02-19,156.825,159.96,156.825,158.56,10724558.0,PG
2026-02-20,159.125,161.06,158.16,160.78,11508133.0,PG
2026-02-23,160.32,165.36,160.3,165.17,14772449.0,PG
2026-02-24,164.9,166.87,163.94,165.28,9709847.0,PG
2026-02-25,164.54,165.0,162.1,163.39,7878458.0,PG
2026-02-26,164.22,164.5,162.86,163.75,7028558.0,PG
2026-02-27,164.04,167.25,163.685,167.2,14878484.0,PG
2026-03-02,165.29,166.545,163.45,163.51,9095500.0,PG
2026-03-03,162.19,162.19,158.62,159.72,10161002.0,PG
2026-03-04,159.44,159.61,157.31,158.3,8752716.0,PG
2026-03-05,156.935,157.1,153.77,153.99,10060314.0,PG
2026-03-06,153.66,154.43,151.89,153.63,8187905.0,PG
2026-03-09,153.15,156.23,152.9,155.22,12494929.0,PG
2026-03-10,155.49,157.15,153.6,156.01,7756771.0,PG
2026-03-11,155.23,155.38,151.43,153.32,8857194.0,PG
2026-03-12,152.21,153.045,150.33,150.5,8489278.0,PG
2026-03-13,151.37,152.55,150.18,150.65,7298896.0,PG
2026-03-16,151.86,152.6386,150.65,152.12,6944219.0,PG
2026-03-17,153.01,153.46,151.2,151.48,6147692.0,PG
2026-03-18,149.305,149.6199,146.46,146.71,10059257.0,PG
2026-03-19,146.22,147.38,144.79,144.84,10340333.0,PG
2026-03-20,144.99,145.82,144.25,144.28,60620861.0,PG
2026-03-23,146.15,146.15,143.48,143.99,10315584.0,PG
2026-03-24,143.33,145.23,142.2255,143.16,8567608.0,PG
2026-03-25,143.74,144.1,142.225,143.92,8418089.0,PG
