,open,high,low,close,volume,symbol
2025-11-04,192.07,195.7,185.56,190.74,121380862.0,PLTR
2025-11-05,189.0,190.32,181.21,187.9,75545384.0,PLTR
2025-11-06,187.99,191.09,174.53,175.05,78468584.0,PLTR
2025-11-07,173.15,178.7,168.91,177.93,73989654.0,PLTR
2025-11-10,184.31,194.9299,183.52,193.61,87764245.0,PLTR
2025-11-11,190.335,192.925,187.13,190.96,49819723.0,PLTR
2025-11-12,190.58,190.58,180.4,184.17,55347134.0,PLTR
2025-11-13,181.715,182.7,170.7314,172.14,63188767.0,PLTR
2025-11-14,166.975,177.29,164.5,174.01,62596757.0,PLTR
2025-11-17,170.53,174.2399,167.68,171.25,50339029.0,PLTR
2025-11-18,168.37,172.83,165.5,167.33,53710064.0,PLTR
2025-11-19,167.8,169.6,162.42,165.42,46108211.0,PLTR
2025-11-20,172.07,174.57,154.395,155.745,78443936.0,PLTR
2025-11-21,156.01,158.11,147.56,154.85,71346356.0,PLTR
2025-11-24,157.47,165.17,157.0,162.25,57877788.0,PLTR
2025-11-25,160.07,164.6499,156.555,163.55,36523528.0,PLTR
2025-11-26,166.85,168.3385,163.88,165.77,34610541.0,PLTR
2025-11-28,167.76,168.8,165.875,168.45,17199497.0,PLTR
2025-12-01,165.0,169.1,163.12,167.49,27779617.0,PLTR
2025-12-02,169.59,175.75,169.59,170.69,35367971.0,PLTR
2025-12-03,170.14,177.91,168.83,176.08,30541605.0,PLTR
2025-12-04,176.365,178.44,174.43,177.92,29217786.0,PLTR
2025-12-05,178.23,182.1532,177.1601,181.76,32079261.0,PLTR
2025-12-08,182.21,183.8799,179.54,181.49,30201278.0,PLTR
2025-12-09,180.97,182.8499,180.38,181.84,18669727.0,PLTR
2025-12-10,184.95,190.39,182.75,187.91,59397971.0,PLTR
2025-12-11,184.8,188.05,180.21,187.54,36843184.0,PLTR
2025-12-12,185.81,186.525,177.6668,183.57,42427356.0,PLTR
2025-12-15,185.08,187.78,180.03,183.25,32796052.0,PLTR
2025-12-16,181.655,188.5,181.1424,187.75,42070267.0,PLTR
2025-12-17,187.715,187.75,176.5,177.29,50424653.0,PLTR
2025-12-18,181.51,187.33,181.51,185.69,40221476.0,PLTR
2025-12-19,186.74,195.0,186.73,193.38,76929380.0,PLTR
2025-12-22,195.04,198.88,192.43,193.98,36686036.0,PLTR
2025-12-23,192.825,195.37,191.7351,194.13,24040968.0,PLTR
2025-12-24,193.16,195.17,192.83,194.17,11710125.0,PLTR
2025-12-26,195.015,196.35,188.62,188.71,26261988.0,PLTR
2025-12-29,186.85,187.2,183.64,184.18,28242003.0,PLTR
2025-12-30,184.35,184.7289,180.7,180.84,23336307.0,PLTR
2025-12-31,181.13,181.53,177.25,177.75,22997438.0,PLTR
2026-01-02,181.3,181.35,166.35,167.86,60634068.0,PLTR
2026-01-05,174.88,175.82,171.79,174.04,39511693.0,PLTR
2026-01-06,175.76,180.19,174.7701,179.71,34838611.0,PLTR
2026-01-07,179.8,187.28,177.66,181.68,45349012.0,PLTR
