,open,high,low,close,volume,symbol
2026-04-15,274.48,276.99,269.78,270.0,888661.0,RGLD
2026-04-16,270.53,271.655,260.585,262.13,968609.0,RGLD
2026-04-17,265.84,275.499,264.525,268.12,829353.0,RGLD
2026-04-20,267.01,267.01,262.14,264.59,476656.0,RGLD
2026-04-21,263.76,264.77,252.63,252.91,707301.0,RGLD
2026-04-22,258.26,259.45,249.69,251.54,997371.0,RGLD
2026-04-23,249.74,253.72,245.37,251.25,597065.0,RGLD
2026-04-24,253.38,253.97,249.209,252.36,1045918.0,RGLD
2026-04-27,251.0,251.86,245.78,246.06,556501.0,RGLD
2026-04-28,243.16,243.16,233.89,236.92,810277.0,RGLD
2026-04-29,233.63,233.89,229.26,231.02,886957.0,RGLD
2026-04-30,235.29,237.16,232.51,233.38,662799.0,RGLD
2026-05-01,231.54,235.0,228.99,230.59,720963.0,RGLD
2026-05-04,228.95,232.26,227.41,228.42,583467.0,RGLD
2026-05-05,231.14,232.66,225.61,225.9,777750.0,RGLD
2026-05-06,236.54,237.9,232.96,236.88,1363494.0,RGLD
2026-05-07,247.0,248.35,232.25,232.68,1299165.0,RGLD
2026-05-08,236.58,239.65,235.0,238.91,856432.0,RGLD
2026-05-11,240.63,246.88,240.45,245.13,672092.0,RGLD
2026-05-12,240.52,247.1899,238.69,245.35,635634.0,RGLD
2026-05-13,243.78,246.09,240.5,244.99,752733.0,RGLD
2026-05-14,244.845,244.99,240.14,240.57,559330.0,RGLD
2026-05-15,234.05,234.05,227.01,228.32,874484.0,RGLD
2026-05-18,229.0,232.84,224.4,226.23,645661.0,RGLD
2026-05-19,223.51,223.516,217.83,218.93,708245.0,RGLD
2026-05-20,220.8,223.99,216.93,223.09,616519.0,RGLD
2026-05-21,219.14,224.82,217.85,222.33,428005.0,RGLD
2026-05-22,221.0,221.86,216.9,220.29,410909.0,RGLD
2026-05-26,224.65,227.36,222.8,225.95,677682.0,RGLD
2026-05-27,222.09,224.775,218.16,218.33,631105.0,RGLD
2026-05-28,216.304,223.81,213.5,222.68,651103.0,RGLD
2026-05-29,222.96,228.15,221.66,224.48,669425.0,RGLD
2026-06-01,218.75,220.59,214.02,217.86,533588.0,RGLD
2026-06-02,218.23,219.8,213.715,219.58,661106.0,RGLD
2026-06-03,216.79,220.045,216.0,216.79,618404.0,RGLD
2026-06-04,220.0,224.0,219.09,220.17,399037.0,RGLD
2026-06-05,216.07,216.585,205.55,206.07,755833.0,RGLD
2026-06-08,206.5,209.28,205.05,205.7,626729.0,RGLD
2026-06-09,207.8,208.8,200.158,204.79,734719.0,RGLD
2026-06-10,200.41,204.99,196.81,197.07,969305.0,RGLD
2026-06-11,196.82,205.25,195.76,204.57,796033.0,RGLD
2026-06-12,206.895,208.76,203.7701,207.57,723615.0,RGLD
2026-06-15,218.81,220.04,214.32,215.52,1038655.0,RGLD
2026-06-16,217.16,222.065,215.28,221.53,693363.0,RGLD
2026-06-17,219.37,227.79,217.27,218.42,1309835.0,RGLD
2026-06-18,217.7,223.1999,212.8356,214.82,1630175.0,RGLD
2026-06-22,210.06,215.9904,210.0,214.65,784700.0,RGLD
2026-06-23,208.61,212.74,206.19,206.61,581806.0,RGLD
2026-06-24,200.25,205.88,199.9304,202.24,864341.0,RGLD
2026-06-25,206.63,207.0,201.11,204.62,634628.0,RGLD
2026-06-26,205.31,210.99,205.0,207.95,793921.0,RGLD
2026-06-29,204.59,207.0,200.555,202.12,529938.0,RGLD
2026-06-30,201.43,203.05,197.45,199.61,712641.0,RGLD
2026-07-01,200.97,205.13,198.54,198.79,825502.0,RGLD
