,open,high,low,close,volume,symbol
2025-10-31,36.26,36.53,35.775,36.06,15188522.0,SLB
2025-11-03,36.1,37.305,36.025,37.02,19348956.0,SLB
2025-11-04,36.32,36.46,35.785,36.12,18718785.0,SLB
2025-11-05,36.25,37.03,35.96,36.55,14649016.0,SLB
2025-11-06,36.66,37.205,36.34,36.36,14651311.0,SLB
2025-11-07,36.48,36.8,35.89,36.66,11074654.0,SLB
2025-11-10,36.88,37.0454,36.11,36.91,12275965.0,SLB
2025-11-11,37.2,38.075,37.11,37.61,10426194.0,SLB
2025-11-12,37.3,37.545,36.0,36.07,11588118.0,SLB
2025-11-13,36.22,36.935,36.075,36.31,10203959.0,SLB
2025-11-14,36.44,37.34,35.88,36.94,10858344.0,SLB
2025-11-17,36.82,36.93,35.61,35.8,10775748.0,SLB
2025-11-18,35.43,36.225,35.28,36.04,15306211.0,SLB
2025-11-19,35.38,36.125,35.12,35.86,9709737.0,SLB
2025-11-20,36.21,36.84,35.085,35.19,11718218.0,SLB
2025-11-21,35.17,36.33,34.65,36.19,20752833.0,SLB
2025-11-24,36.0,36.0828,35.3,35.71,36923802.0,SLB
2025-11-25,35.82,35.95,35.01,35.9,13234460.0,SLB
2025-11-26,35.75,36.05,35.29,35.66,9754246.0,SLB
2025-11-28,35.72,36.38,35.52,36.24,4013044.0,SLB
2025-12-01,36.25,36.98,36.23,36.6,12674413.0,SLB
2025-12-02,36.31,36.52,35.505,36.36,12825596.0,SLB
2025-12-03,36.43,37.63,36.225,37.55,16133740.0,SLB
2025-12-04,37.5,38.3,37.41,38.12,15860081.0,SLB
2025-12-05,38.23,39.0,38.22,38.46,12579709.0,SLB
2025-12-08,38.33,38.83,37.725,38.24,19223542.0,SLB
2025-12-09,38.1,38.6882,38.1,38.3,12284414.0,SLB
2025-12-10,38.35,39.99,38.2,39.93,20648135.0,SLB
2025-12-11,39.85,40.875,39.78,40.34,18982752.0,SLB
2025-12-12,40.55,40.7806,39.145,39.45,14892511.0,SLB
2025-12-15,39.41,39.5,38.52,38.9,10957066.0,SLB
2025-12-16,38.6,38.9,37.485,37.61,19127102.0,SLB
2025-12-17,37.83,38.62,37.725,38.53,15363920.0,SLB
2025-12-18,38.54,38.555,37.885,38.13,12014776.0,SLB
2025-12-19,38.25,38.49,37.98,38.08,22594297.0,SLB
2025-12-22,38.45,38.87,38.155,38.33,8496184.0,SLB
2025-12-23,38.49,38.9,37.9313,38.2,7930344.0,SLB
2025-12-24,38.17,38.28,37.81,37.97,2928617.0,SLB
2025-12-26,37.96,38.06,37.535,37.79,4726735.0,SLB
2025-12-29,37.85,38.14,37.69,37.9,6805975.0,SLB
2025-12-30,38.0,38.725,38.0,38.55,7774511.0,SLB
2025-12-31,38.55,38.765,38.2725,38.38,6157199.0,SLB
2026-01-02,38.41,40.4363,38.065,40.2,14637165.0,SLB
2026-01-05,43.0,45.155,42.52,43.8,56362626.0,SLB
2026-01-06,44.28,44.5699,43.42,43.63,28955399.0,SLB
2026-01-07,43.89,43.9,42.2,42.37,17255915.0,SLB
2026-01-08,42.86,44.57,42.66,44.43,20138487.0,SLB
2026-01-09,44.78,45.24,44.29,45.2,18306842.0,SLB
2026-01-12,45.4,45.5,44.365,45.15,19685712.0,SLB
2026-01-13,45.74,46.39,45.445,45.9,19535582.0,SLB
2026-01-14,46.44,47.73,46.28,46.97,23910301.0,SLB
2026-01-15,46.8,46.865,46.08,46.57,18019774.0,SLB
2026-01-16,46.68,46.99,46.31,46.73,17373076.0,SLB
2026-01-20,45.98,46.99,45.98,46.45,22089434.0,SLB
2026-01-21,47.1,48.6093,47.0,48.52,22868228.0,SLB
2026-01-22,48.95,49.58,48.54,49.32,22766967.0,SLB
2026-01-23,50.0,51.67,48.83,49.15,43516197.0,SLB
2026-01-26,49.7,50.065,49.23,49.7,25377215.0,SLB
2026-01-27,50.29,51.465,50.03,50.66,17290833.0,SLB
2026-01-28,50.4,50.73,48.47,48.87,24530992.0,SLB
2026-01-29,49.88,50.58,48.35,48.45,32023070.0,SLB
2026-01-30,48.3,48.55,47.3,48.38,16406558.0,SLB
2026-02-02,47.67,48.67,47.35,48.05,16616399.0,SLB
2026-02-03,48.13,49.795,48.095,49.76,27032937.0,SLB
2026-02-04,49.85,51.43,49.76,51.35,23745396.0,SLB
2026-02-05,50.38,50.555,48.67,49.51,24708190.0,SLB
2026-02-06,49.5,51.245,49.41,50.7,16188844.0,SLB
2026-02-09,50.48,50.925,50.09,50.54,13581448.0,SLB
2026-02-10,50.89,50.96,49.79,50.32,14102473.0,SLB
2026-02-11,51.05,51.99,50.93,51.56,22951659.0,SLB
2026-02-12,51.49,52.4,50.34,50.64,24008560.0,SLB
