,open,high,low,close,volume,symbol
2025-10-30,347.515,354.54,343.6,344.75,11441932.0,UNH
2025-10-31,344.39,346.28,337.12,341.56,8390831.0,UNH
2025-11-03,339.13,340.7,326.6,333.79,11181376.0,UNH
2025-11-04,327.63,336.5,327.2,330.83,9646591.0,UNH
2025-11-05,326.3,330.2055,324.22,327.74,9082200.0,UNH
2025-11-06,328.92,332.365,321.45,321.56,7922131.0,UNH
2025-11-07,319.655,324.55,314.16,324.21,9402873.0,UNH
2025-11-10,319.99,324.25,317.17,321.58,9283842.0,UNH
2025-11-11,323.3,327.8599,319.88,327.45,7157796.0,UNH
2025-11-12,328.45,343.17,327.0846,339.06,10403259.0,UNH
2025-11-13,338.35,339.03,331.29,332.52,7788683.0,UNH
2025-11-14,326.95,328.2121,320.49,321.86,8676498.0,UNH
2025-11-17,320.6,327.88,319.43,320.52,6485370.0,UNH
2025-11-18,317.01,317.5,308.77,313.58,9182145.0,UNH
2025-11-19,313.93,315.0,304.53,309.09,8181075.0,UNH
2025-11-20,310.81,314.745,310.0,311.54,7337568.0,UNH
2025-11-21,311.91,323.835,311.44,319.97,8406306.0,UNH
2025-11-24,324.525,325.846,317.62,319.05,10773806.0,UNH
2025-11-25,321.12,328.0,320.904,326.28,6149110.0,UNH
2025-11-26,326.59,335.19,325.89,329.71,5504205.0,UNH
2025-11-28,331.67,332.06,328.89,329.77,2464462.0,UNH
2025-12-01,327.16,330.06,323.03,323.21,6154560.0,UNH
2025-12-02,323.37,328.7,322.8,324.54,7978098.0,UNH
2025-12-03,326.0,341.405,325.01,339.71,9769961.0,UNH
2025-12-04,339.4,341.26,328.72,333.49,8061622.0,UNH
2025-12-05,335.0,335.71,328.51,330.91,5905996.0,UNH
2025-12-08,328.7,329.1,322.83,323.62,4729792.0,UNH
2025-12-09,323.16,326.36,322.48,323.6,4318015.0,UNH
2025-12-10,322.75,328.73,319.6,328.37,5910546.0,UNH
2025-12-11,330.37,339.25,328.76,336.73,7513165.0,UNH
2025-12-12,337.5,344.98,337.37,341.84,7978995.0,UNH
2025-12-15,340.99,344.96,337.0,341.1,6447186.0,UNH
2025-12-16,340.42,340.99,331.0301,334.2,6334030.0,UNH
2025-12-17,333.61,335.52,330.48,331.63,4685579.0,UNH
2025-12-18,328.93,330.18,324.57,328.14,6354947.0,UNH
2025-12-19,328.06,334.6,326.07,327.42,10552981.0,UNH
2025-12-22,322.9,329.8,321.65,325.16,7872420.0,UNH
2025-12-23,324.0,327.7999,323.76,324.8,4463292.0,UNH
