,open,high,low,close,volume,symbol
2025-10-30,102.2,103.37,101.96,102.23,14065077.0,WMT
2025-10-31,101.7,102.095,100.18,101.18,20237018.0,WMT
2025-11-03,100.815,101.8,100.4,101.59,14811687.0,WMT
2025-11-04,102.13,102.62,101.46,102.27,12636350.0,WMT
2025-11-05,101.74,102.675,100.85,101.47,13303082.0,WMT
2025-11-06,101.34,101.93,100.03,101.68,14866025.0,WMT
2025-11-07,102.13,102.97,101.73,102.59,17248716.0,WMT
2025-11-10,102.15,102.665,101.602,102.42,14507603.0,WMT
2025-11-11,102.5,103.74,102.32,103.44,13182144.0,WMT
2025-11-12,103.35,103.5981,102.663,103.44,12084407.0,WMT
2025-11-13,103.59,103.93,102.02,102.54,18088506.0,WMT
2025-11-14,100.2,102.49,98.88,102.48,23424211.0,WMT
2025-11-17,102.58,103.315,102.1001,102.95,15289373.0,WMT
2025-11-18,102.98,103.3428,101.38,101.39,17604460.0,WMT
2025-11-19,101.58,101.7101,99.68,100.61,22157029.0,WMT
2025-11-20,103.94,107.91,102.68,107.11,50375920.0,WMT
2025-11-21,107.98,108.15,104.7244,105.32,41420780.0,WMT
2025-11-24,105.36,106.27,103.76,104.06,42519159.0,WMT
2025-11-25,104.61,107.42,104.23,107.0,20212882.0,WMT
2025-11-26,107.2,109.59,107.17,109.1,17783281.0,WMT
2025-11-28,109.3,110.7,109.0,110.51,9846525.0,WMT
2025-12-01,110.51,111.755,110.36,111.53,17236750.0,WMT
2025-12-02,111.47,112.6475,110.79,112.41,18711768.0,WMT
2025-12-03,112.5,114.89,112.221,114.41,24478281.0,WMT
2025-12-04,113.62,114.885,113.1631,114.84,25905147.0,WMT
2025-12-05,114.73,116.27,114.675,115.11,23956427.0,WMT
2025-12-08,114.57,114.99,112.3,113.56,21851466.0,WMT
2025-12-09,113.95,115.72,113.021,115.06,22512198.0,WMT
2025-12-10,115.35,116.23,112.99,113.18,22859578.0,WMT
2025-12-11,113.14,115.87,112.85,115.52,21586640.0,WMT
