YEAR ,QR,North America,Europe,ASPAC,WW
2022,Q1,203418.01,296835.0,555948.01,1183927.0
2022,Q2,218745.0,306737.0,576955.0,1246695.0
2022,Q3,217085.0,275589.0,585898.01,1212143.0
2022,Q4,171060.01,285133.0,593624.01,1206728.0
2023,Q1,232554.0,261508.02,549059.0,1187516.0
2023,Q2,225047.01,298398.0,636738.01,1301086.0
2023,Q3,225083.0,280158.0,661690.01,1290779.0
2023,Q4,233239.01,278967.01,657858.01,1345223.0
2024,Q1,203135.02,304840.01,619966.03,1313894.01
2024,Q2,248718.01,307965.01,671535.02,1373566.01
2024,Q3,201820.02,284110.01,681282.03,1364476.01
2024,Q4,261200.01,322763.0,707499.0,1443068.0
2025,Q1,202889.02,327071.0,657736.01,1369726.0
2025,Q2,212258.02,331878.0,691462.02,1430281.0
2025,Q3,209946.02,310003.0,712807.02,1431777.0
2025,Q4,221405.02,349502.0,721918.02,1519129.01
