QR,YEAR ,Product,North America,France,Germany,Italy,The Netherlands,Spain,UK,Russia,Austria,Belgium,Portugal,Ireland,Switzerland,Israel,Nordics,Poland,Europe,Rest of Central Eastern Europe,South Africa,Turkey,Saudi Arabia,Rest of MEA,Middle East,MEA,Argentina,Brazil,Chile,Colombia,Mexico,Costa Rica,Peru,Ecuador,Rest of LATAM,LATAM,ANZ,China,Hong Kong,India,Indonesia,Japan ,Malaysia,Singapore,South Korea,Taiwan,Thailand,Vietnam,ASPAC,WW
Q1,2022,Stent Retrievers,9234,1710,4892,1099,593,1734,636.0,321,270,341.0,188.0,55.0,375,56,717.0,,14579.0,1592.0,38.0,1031.0,399.0,271.0,104.0,1843.0,0.01,583.0,0.01,0.01,75.0,0.01,0.01,0.01,8.0,666.0,481.0,9125.0,61.0,388.0,0.01,4544.0,0.01,136.0,1239.0,326.0,187.0,159.0,16646.0,43202.0
Q1,2022,Stent Retrievers,9234,14579,666,9125,4544,16646,,Japan ,17589,18812.0,19641.0,19622.0,1140,20051460,21445680.0,22390740.0,22369080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,2022,Stent Retrievers,9250,1667,5017,1298,595,1717,670.0,944,302,361.0,353.0,80.0,402,53,762.0,,15682.0,1461.0,0.01,913.0,261.0,253.0,55.0,1482.0,0.01,624.0,94.0,0.01,85.0,0.01,7.0,0.01,48.0,858.0,611.0,6675.0,57.0,385.0,0.01,4576.0,0.01,94.0,1160.0,393.0,143.0,222.0,14316.0,41795.0
Q2,2022,Stent Retrievers,9250,15682,858,6675,4576,14316,,China,31039,23500.0,26476.0,40541.0,346,10739494,8131000.0,9160696.0,14027186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,2022,Stent Retrievers,9013,1639,4921,1276,637,1742,745.0,487,321,331.0,452.0,99.0,457,419,660.0,,15667.0,1481.0,64.0,1048.0,232.0,92.0,79.0,1515.0,33.0,545.0,66.0,0.01,53.0,0.01,0.01,0.01,72.0,866.0,592.0,8088.0,107.0,325.0,0.01,4046.0,0.01,75.0,1629.0,285.0,126.0,0.01,15777.0,42838.0
Q3,2022,Stent Retrievers,9013,15667,866,8088,4046,15777,,LATAM,3537,4619.0,4960.0,12881.0,1250,4421250,5773750.0,6200000.0,16101250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,2022,Stent Retrievers,8528,1727,5889,1439,642,1888,766.0,505,343,357.0,355.0,109.0,449,628,783.0,,17645.0,1765.0,0.01,890.0,174.0,231.0,0.01,1426.0,0.01,727.0,75.0,0.01,127.0,0.01,0.01,0.01,68.0,1147.0,575.0,7151.0,0.01,367.0,0.01,4423.0,0.01,0.01,1357.0,193.0,119.0,0.01,14812.0,43558.0
Q4,2022,Stent Retrievers,8528,17645,1147,7151,4423,14812,,Europe,63573,68670.0,71633.0,69410.0,1950,123967350,133906500.0,139684350.0,135349500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,2023,Stent Retrievers,8835,1700,5683,1527,680,1990,853.0,489,368,320.0,252.0,106.0,441,199,762.0,,17273.0,1903.0,0.01,1192.0,0.01,411.0,97.0,1886.0,0.01,666.0,128.0,0.01,171.0,0.01,0.01,0.01,43.0,1165.0,508.0,8256.0,0.01,361.0,0.01,4874.0,0.01,106.0,1389.0,229.0,0.01,148.0,16160.0,45319.0
Q1,2023,Stent Retrievers,8835,17273,1165,8256,4874,16160,,,,,,,,% Change,-0.014545454545454528,-0.038984817329089316,-0.1694170061846001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,2023,Stent Retrievers,9260,1627,5562,1388,702,2185,901.0,445,355,344.0,363.0,112.0,398,235,744.0,,17149.0,1788.0,0.01,804.0,0.01,162.0,114.0,1339.0,53.0,713.0,0.01,110.0,52.0,0.01,23.0,9.0,0.01,1053.0,567.0,5057.0,50.0,390.0,0.01,4542.0,0.01,128.0,1463.0,344.0,0.01,0.01,13132.0,41933.0
Q2,2023,Stent Retrievers,9260,17149,1053,5057,4542,13132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,2023,Stent Retrievers,8559,1532,5763,1206,631,1779,812.0,0.01,325,323.0,288.0,0.01,434,272,753.0,,15938.0,1630.0,0.01,816.0,0.01,101.0,188.0,1255.0,0.01,928.0,76.0,0.01,134.0,0.01,0.01,0.01,0.01,1338.0,600.0,5383.0,53.0,322.0,29.0,4437.0,0.01,116.0,1504.0,321.0,175.0,0.01,13387.0,40477.0
Q3,2023,Stent Retrievers,8559,15938,1338,5383,4437,13387,,,,,,,,429964899,433272740.0,435744161.0,418091111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,2023,Stent Retrievers,8847,1741,6152,1424,647,1917,962.0,0.01,378,379.0,440.0,0.01,388,354,862.0,,18310.0,2086.0,0.01,1228.0,0.01,282.0,105.0,1932.0,26.0,660.0,0.01,168.0,109.0,0.01,0.01,0.01,43.0,1063.0,507.0,4804.0,97.0,416.0,0.01,4959.0,0.01,117.0,1412.0,303.0,127.0,427.0,13219.0,43371.0
Q4,2023,Stent Retrievers,8847,18310,1063,4804,4959,13219,,ASPAC,61551,55898.0,61425.0,77401.0,595,36622845,33259310.0,36547875.0,46053595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
